Warning: {
	Model use is disabled for direction type. Direction types ORTHO N+1 QUAD are changed to ORTHO N+1 NEG.
} 
Warning: {
	Model use is disabled for problem with categorical variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	1	(	1 0 100.0000000000 )	160.6247422680
	3	(	1 0 1100.0000000000 )	154.5010309278
	4	(	1 0 4100.0000000000 )	136.1298969072
	5	(	1 0 10000.0000000000 )	100.0000000000
	7	(	2 0 5000.0000000000 1 5000.0000000000 )	58.5324359492
	11	(	2 0 5000.0000000000 2 5000.0000000000 )	55.9016994375
	17	(	3 0 3333.3333333333 2 3333.3333333333 1 3333.3333333333 )	47.1682905221
	57+3	(	2 0 4000.0000000000 2 6000.0000000000 )	53.8144961883 (ExtendedPoll)
	85+3	(	2 0 4937.5000000000 2 5062.5000000000 )	55.6303106280 (ExtendedPoll)
	85+4	(	2 0 4750.0000000000 2 5250.0000000000 )	54.9175874038 (ExtendedPoll)
	85+12	(	2 0 4125.0000000000 2 5875.0000000000 )	53.7856009462 (ExtendedPoll)
	171	(	3 0 3333.2365055879 2 3333.4012826284 1 3333.3571751912 )	47.1681115325
	172	(	3 0 3332.9460223516 2 3333.6051305135 1 3333.4287007650 )	47.1675747997
	173	(	3 0 3331.7840894063 2 3334.4205220540 1 3333.7148030599 )	47.1654314112
	174	(	3 0 3327.1363576253 2 3337.6820882161 1 3334.8592122396 )	47.1569145813
	175	(	3 0 3308.5454305013 2 3350.7283528646 1 3339.4368489583 )	47.1237573269
	176	(	3 0 3234.1817220052 2 3402.9134114583 1 3357.7473958333 )	47.0058461470
	177	(	3 0 2936.7268880208 2 3611.6536458333 1 3430.9895833333 )	46.7791198645
	180	(	3 0 2939.6565755208 2 3626.3020833333 1 3433.4309895833 )	46.5971165597
	188+3	(	2 0 4968.4448242188 2 5030.9448242188 )	55.7700229860 (ExtendedPoll)
	188+4	(	2 0 4874.6948242188 2 5124.6948242188 )	55.3815102271 (ExtendedPoll)
	188+5	(	2 0 4499.6948242188 2 5499.6948242188 )	54.2281651973 (ExtendedPoll)
	222	(	3 0 2938.0086263021 2 3629.3233235677 1 3432.2713216146 )	46.5966029926
	241	(	3 0 2937.1846516927 2 3630.9712727865 1 3431.7220052083 )	46.5948200019
	249+1	(	2 0 4996.9482421875 2 5002.1820068359 )	55.8986624020 (ExtendedPoll)
	249+2	(	2 0 4987.9760742188 2 5008.9111328125 )	55.8860610670 (ExtendedPoll)
	249+3	(	2 0 4952.0874023438 2 5035.8276367188 )	55.8379720549 (ExtendedPoll)
	249+4	(	2 0 4808.5327148438 2 5143.4936523438 )	55.6836996384 (ExtendedPoll)
	249+6	(	2 0 4789.0014648438 2 5190.3686523438 )	55.2919803127 (ExtendedPoll)
	249+8	(	2 0 4726.5014648438 2 5237.2436523438 )	55.2532965453 (ExtendedPoll)
	249+9	(	2 0 4539.0014648438 2 5377.8686523438 )	55.2139570834 (ExtendedPoll)
	249+20	(	2 0 4519.4702148438 2 5424.7436523438 )	54.8659127427 (ExtendedPoll)
	249+22	(	2 0 4472.5952148438 2 5487.2436523438 )	54.5900037196 (ExtendedPoll)
	249+33	(	2 0 4452.0874023438 2 5506.7749023438 )	54.5570993340 (ExtendedPoll)
	249+34	(	2 0 4390.5639648438 2 5565.3686523438 )	54.4706155097 (ExtendedPoll)
	249+35	(	2 0 4144.4702148438 2 5799.7436523438 )	54.3146668013 (ExtendedPoll)
	249+47	(	2 0 4144.4702148438 2 5830.9936523438 )	54.0190790503 (ExtendedPoll)
	249+49	(	2 0 4121.0327148438 2 5862.2436523438 )	53.9401230180 (ExtendedPoll)
	249+57	(	2 0 4111.2670898438 2 5885.6811523438 )	53.8124683871 (ExtendedPoll)
	347	(	3 0 2937.4043544134 2 3630.6631167730 1 3431.8928321203 )	46.5938751982
	355+1	(	2 0 4999.5796084404 2 5000.2467036247 )	55.9019360416 (ExtendedPoll)
	355+2	(	2 0 4998.3779788017 2 5001.0463595390 )	55.9014633785 (ExtendedPoll)
	355+3	(	2 0 4993.5714602470 2 5004.2449831963 )	55.8996086743 (ExtendedPoll)
	355+4	(	2 0 4974.3453860283 2 5017.0394778252 )	55.8927671128 (ExtendedPoll)
	355+5	(	2 0 4897.4410891533 2 5068.2174563408 )	55.8747706802 (ExtendedPoll)
	355+7	(	2 0 4887.1871829033 2 5077.9830813408 )	55.8383793615 (ExtendedPoll)
	355+8	(	2 0 4856.4254641533 2 5107.2799563408 )	55.7317544820 (ExtendedPoll)
	355+9	(	2 0 4733.3785891533 2 5224.4674563408 )	55.3444557037 (ExtendedPoll)
	355+10	(	2 0 4241.1910891533 2 5693.2174563408 )	54.4812161767 (ExtendedPoll)
	355+16	(	2 0 4241.1910891533 2 5755.7174563408 )	53.8687489670 (ExtendedPoll)
	355+28	(	2 0 4220.6832766533 2 5775.2487063408 )	53.8630271865 (ExtendedPoll)
	355+29	(	2 0 4159.1598391533 2 5833.8424563408 )	53.8590851053 (ExtendedPoll)
	355+47	(	2 0 4161.4486575127 2 5836.8942141533 )	53.8096574396 (ExtendedPoll)
	355+56	(	2 0 4163.1881594658 2 5836.0664248466 )	53.8016878117 (ExtendedPoll)
	355+61	(	2 0 4164.7140383720 2 5834.9220156670 )	53.7986379355 (ExtendedPoll)
	439	(	3 0 2937.3075266679 2 3630.7310660680 1 3431.9166739782 )	46.5938744868
	440	(	3 0 2937.0170434316 2 3630.9349139531 1 3431.9881995519 )	46.5938726172
	441	(	3 0 2935.8551104863 2 3631.7503054937 1 3432.2743018468 )	46.5938691103
	449+3	(	2 0 4998.8498091698 2 5000.7724165916 )	55.9011606264 (ExtendedPoll)
	449+4	(	2 0 4995.5796599388 2 5003.2700896263 )	55.8959747828 (ExtendedPoll)
	449+5	(	2 0 4982.4990630150 2 5013.2607817650 )	55.8755440249 (ExtendedPoll)
	449+6	(	2 0 4930.1766753197 2 5053.2235503197 )	55.7988736138 (ExtendedPoll)
	449+7	(	2 0 4720.8871245384 2 5213.0746245384 )	55.5762877181 (ExtendedPoll)
	449+9	(	2 0 4701.3558745384 2 5233.5824370384 )	55.4985813385 (ExtendedPoll)
	449+10	(	2 0 4642.7621245384 2 5295.1058745384 )	55.2768713837 (ExtendedPoll)
	449+11	(	2 0 4408.3871245384 2 5541.1996245384 )	54.5688522315 (ExtendedPoll)
	449+16	(	2 0 4388.8558745384 2 5588.0746245384 )	54.2507454186 (ExtendedPoll)
	449+21	(	2 0 4365.4183745384 2 5619.3246245384 )	54.1334399484 (ExtendedPoll)
	449+32	(	2 0 4362.7328276634 2 5633.9730620384 )	54.0077970233 (ExtendedPoll)
	449+40	(	2 0 4357.8500151634 2 5639.1000151634 )	53.9982754666 (ExtendedPoll)
	449+41	(	2 0 4343.2015776634 2 5654.4808745384 )	53.9705297268 (ExtendedPoll)
	449+46	(	2 0 4332.9476714134 2 5664.2464995384 )	53.9618869405 (ExtendedPoll)
	449+47	(	2 0 4302.1859526634 2 5693.5433745384 )	53.9391543798 (ExtendedPoll)
