 mpirun -np 4 ../../psdmads.exe param.txt 2 3 

TIME	BBE	OBJ

0	1	-0.001746040966254643
0	2	-0.02813866582027356
0	4	-0.03246494243742246
0	5	-0.03500916329442131
0	6	-0.03979188572323358
0	7	-0.04911024464431659
0	8	-0.0624744264055816
0	15	-0.07048573066714986
0	17	-0.07913640207892171
0	18	-0.2767691552979534
0	32	-0.2840652234097061
1	37	-0.3467264619146415
1	47	-0.3616531939153783
1	51	-0.3629746044080329
1	53	-0.3784626616521393
1	67	-0.4007959643190014
1	76	-0.4011229010993316
1	84	-0.4032331127256472
1	87	-0.403470848334701
1	90	-0.4037279807054211
1	95	-0.4041302132836239
1	100	-0.4048613086583342
1	107	-0.4053884600639073
1	120	-0.4069087605072449
1	131	-0.4072285704612035
2	151	-0.4077863530293669
2	152	-0.4086685803184945
2	158	-0.4130919348061188
2	170	-0.4137304728713846
2	172	-0.4148496666566134
2	176	-0.4191250251192655
2	182	-0.4200033998088014
2	205	-0.4208641998228952
3	206	-0.4225719140558536
3	215	-0.4228472348980148
3	217	-0.424356641202593
3	218	-0.4257196697168721
3	224	-0.4353114259472481
3	235	-0.4384297542906666
3	249	-0.4428448864268232
3	259	-0.4452338309063813
3	268	-0.4454447130476139
3	274	-0.4463397444771921
3	276	-0.44789418940056
3	284	-0.4480311333354084
3	294	-0.4518803988674263
3	310	-0.4541110520311777
4	338	-0.4554487138353737
4	349	-0.4555011463355874
4	371	-0.4671811067309874
4	376	-0.4681242182210517
4	379	-0.4682305982863977
4	385	-0.470523423605836
4	397	-0.4736991861621658
5	407	-0.4795311288186103
5	408	-0.4831426791267522
5	422	-0.4858641762962093
5	424	-0.4879898135606146
5	432	-0.4887503548786935
5	433	-0.4890297740218854
5	437	-0.4940686510588005
5	441	-0.4994879542195462
5	453	-0.4996398710974662
5	467	-0.5120558920079147
5	486	-0.5156106481361489
5	494	-0.5184315095785024
5	496	-0.5226683626664205
6	509	-0.5280449547858778
6	512	-0.5383933309117888
6	523	-0.5429439408280063
6	533	-0.5543908904333605
6	537	-0.5632007867272643
6	541	-0.5671878178220834
7	583	-0.5761420295747868
7	604	-0.6084769206498875
8	610	-0.6113445698633692
8	639	-0.6144597698235708
8	645	-0.629444227845865
8	647	-0.6313958500255352
8	648	-0.6360620644111428
8	651	-0.6422846491448985
8	654	-0.6459778341618972
8	663	-0.6460135265779767
8	674	-0.6465276784852958
8	680	-0.6505834588791414
8	690	-0.659017324207901
9	716	-0.6629043685717967
10	758	-0.6846542316250898
11	799	-0.6848344023953686
11	800	-0.6853069561564632
11	801	-0.6861970681378093
11	804	-0.6878053210464737
11	805	-0.6916807972008618
11	810	-0.6993985430379386
14	872	-0.7015922046101486
18	964	-0.7038488494934669
18	968	-0.7044602723295867
18	969	-0.7058578026145313
20	1000	-0.7058578026145313
evaluations: 1000
cache hits : 323
best feasible solution: x=( 3.0462646484375 3.1387939453125 3.0379638671875 2.962646484375 0.6630859375 1.3421630859375 0.35400390625 0.1610107421875 0.398193359375 0.4324951171875 ) F(x)=[ -0.001806557213181849 -59.46337890625 -0.7058578026145313 ] h=0 f=-0.7058578026145313

